id,name,price,original_price,discount_rate,quantity_sold,rating_average,category,platform,seller,url,da_kiem_tra_gia_ao
KAG_51100972,Quần Jean Nam body phong cách Hàn Quốc - J002A,190000.0,190000.0,0.0,1,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-jean-nam-body-phong-cach-han-quoc-tang-day-chyen-thoi-trang-p51100972.html?spid=51100978,False
KAG_35193581,[FREEMAN] Combo 5 quần lót nam 639,196000.0,245000.0,0.2,77,4.3,Thời trang nam,Kaggle,Tiki,https://tiki.vn/combo-5-quan-lot-nam-freeman-6039-p35193581.html?spid=35193588,False
KAG_24595627,Áo thun Nam thời trang mềm mỏng cho mùa hè - AT015,145000.0,145000.0,0.0,3,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-thun-nam-thoi-trang-kieu-dang-moi-p24595627.html?spid=24595633,False
KAG_16712370,Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,179000.0,245000.0,0.27,4015,3.9,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-kaki-nam-hai-lop-simple-cao-cap-shopn6-kk35-p16712370.html?spid=16712374,False
KAG_13326027,Quần lót nam thun lạnh - QL005,99000.0,99000.0,0.0,105,4.6,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-lot-nam-thun-lanh-p13326027.html?spid=13326037,False
KAG_7078807,Bộ 10 Quần Lót Nam Chéo Nhật Bản Cao Cấp Thoáng Mát (Giao Màu Ngẫu Nhiên),327600.0,420000.0,0.22,13,4.5,Thời trang nam,Kaggle,Tiki,https://tiki.vn/bo-10-quan-lot-nam-cheo-nhat-ban-cao-cap-thoang-mat-giao-mau-ngau-nhien-p7078807.html?spid=67858801,False
KAG_6187707,Bộ 5 quần sịp đùi xuất Nhật chất lụa cao cấp,173000.0,173000.0,0.0,13,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/bo-5-quan-dui-lot-nam-xuat-nhat-chat-lua-cao-cap-p6187707.html?spid=8013555,False
KAG_5757757,Bộ 4 Quần Boxer Đúc Cao Cấp Nhật Bản Cho Nam,178000.0,178000.0,0.0,6,3.3,Thời trang nam,Kaggle,Tiki,https://tiki.vn/bo-4-quan-boxer-duc-cao-cap-nhat-ban-cho-nam-p5757757.html?spid=55354606,False
KAG_279650488,[Tặng 2 Khăn Ướt Cồn/Bao] Set 5 Quần Lót Dùng 1 Lần Nam TRAVEL-MATE | Đã Giặt Sạch An Toàn Tiện Lợi,40000.0,40000.0,0.0,79,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/tang-2-khan-uot-con-bao-set-5-quan-lot-dung-1-lan-nam-travel-mate-da-giat-sach-an-toan-tien-loi-p279650488.html?spid=271395660,False
KAG_278069333,"Quần short huongtam nam cao cấp(QSNN16). Chất liệu vải loại tốt: mềm mại, thoáng mát, không phai màu",73000.0,73000.0,0.0,5,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-short-huongtam-nam-cao-cap-qsnn16-chat-lieu-vai-loai-tot-mem-mai-thoang-mat-khong-phai-mau-p278069333.html?spid=278069369,False
KAG_277996544,"Hộp 5 Quần lót nam cotton lụa – Siêu đẹp, mềm mịn, thoáng mát",220000.0,220000.0,0.0,9,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/hop-5-quan-lot-nam-cotton-lua-muji-sieu-dep-mem-min-thoang-mat-p277996544.html?spid=278006736,False
