ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
277737595,Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,3799000,4490000,0.15,17,4.8,https://tiki.vn/dien-thoai-samsung-a06-5g-4gb-128gb-hang-chinh-hang-p277737595.html?spid=277737599,True
277651890,Điện thoại Samsung Galaxy A06 5G (4GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4490000,4490000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a06-5g-4gb-128gb-hang-chinh-hang-p277651890.html?spid=277651926,True
277175955,Điện Thoại Xiaomi Redmi A3 3GB/64GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,2690000,2690000,0.0,9,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-a3-3gb-64gb-hang-chinh-hang-p277175955.html?spid=277175957,True
276451993,"Máy đọc sách Basic 2024 màn hình 6 inch, độ phân giải 300ppi, dung Lượng 16GB, cổng sạc type C - HÀNG CHÍNH HÃNG",Điện thoại (Cũ),Tiki,3790000,3790000,0.0,6,0.0,https://tiki.vn/may-doc-sach-basic-2024-man-hinh-6-inch-do-phan-giai-300ppi-dung-luong-16gb-cong-sac-type-c-p276451993.html?spid=276452015,True
275386649,Điện Thoại Nokia 3210 4G - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,1549000,1790000,0.13,5,5.0,https://tiki.vn/dien-thoai-nokia-3210-4g-hang-chinh-hang-p275386649.html?spid=275386651,True
274375122,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,7290000,7290000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-13-pro-4g-8gb-128gb-hang-chinh-hang-p274375122.html?spid=274375124,True
271530789,Combo Máy đọc sách All New Kindle Paperwhite 6 - Hàng chính hãng,Điện thoại (Cũ),Tiki,4790000,4790000,0.0,17,4.7,https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-kids-edittion-khong-quang-cao-va-bao-da-hang-chinh-hang-p271530789.html?spid=276464092,True
271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",Điện thoại (Cũ),Tiki,3990000,3990000,0.0,16,5.0,https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-va-bao-da-for-kids-ban-kids-khong-quang-cao-hang-nhap-khau-p271362153.html?spid=271362159,True
270794184,"Máy đọc sách Kobo Clara (Clara Colour, Clara BW, Clara 2e, Clara HD) - 6inch, 16gb - Hàng Chính Hãng",Điện thoại (Cũ),Tiki,5390000,5390000,0.0,9,5.0,https://tiki.vn/may-doc-sach-kobo-clara-hang-chinh-hang-p270794184.html?spid=275380047,True
249782771,Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),Điện thoại (Cũ),Tiki,2890000,2890000,0.0,0,0.0,https://tiki.vn/may-tinh-bang-xelex-gama-tab-x8-edu-p249782771.html?spid=249782772,True
193366048,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,15990000,15990000,0.0,0,0.0,https://tiki.vn/dien-thoai-oneplus-10t-5g-hang-chinh-hang-p193366048.html?spid=193366050,True
172537996,"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",Điện thoại (Cũ),Tiki,2220000,2220000,0.0,0,0.0,https://tiki.vn/dien-thoai-ban-huu-tuyen-h2p-hieu-alcatel-lucent-p172537996.html?spid=172537997,True
