ma_san_pham,ten_san_pham,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,nganh_hang,nen_tang,shop,url,da_kiem_tra_gia_ao
279551576,"Điện thoại Samsung Galaxy A27 5G (6GB + 128GB) | Màn hình 6.7"" FHD+ | Pin 5000mAh | Snapdragon 6 Gen 3 - Hàng chính hãng",7490000.0,7990000.0,0.06,80,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a27-5g-6gb-128gb-man-hinh-6-7-fhd-pin-5000mah-snapdragon-6-gen-3-hang-chinh-hang-p279551576.html?spid=279551573,True
279528897,Điện Thoại Oppo Reno16 F 5G 8GB/256GB - Hàng Chính Hãng,13439000.0,15990000.0,0.16,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-oppo-reno16-f-5g-8gb-256gb-hang-chinh-hang-p279528897.html?spid=279528903,True
279509688,Điện thoại Samsung Galaxy A27 5G (6GB/128GB) - Hàng chính hãng,8509000.0,8509000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a27-5g-6gb-128gb-hang-chinh-hang-p279509688.html?spid=279509690,True
279506750,Điện Thoại Samsung Galaxy A27 5G 6GB/128GB - Hàng Chính Hãng,7899000.0,8490000.0,0.07,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a27-5g-6gb-128gb-hang-chinh-hang-p279506750.html?spid=279506756,True
279506734,Điện Thoại Realme C85 6GB/128GB - Hàng Chính Hãng,4599000.0,5690000.0,0.19,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-realme-c85-6gb-128gb-hang-chinh-hang-p279506734.html?spid=279506740,True
279505709,Điện Thoại Oppo A6c 4GB/64GB - Hàng Chính Hãng,4139000.0,4690000.0,0.12,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-oppo-a6c-4gb-64gb-hang-chinh-hang-p279505709.html?spid=279505711,True
279505643,Điện thoại Xiaomi 17T Pro 5G (12GB/512GB) - Hàng chính hãng,24990000.0,24990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-17t-pro-5g-12gb-512gb-hang-chinh-hang-p279505643.html?spid=279505647,True
279505636,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 4GB/64GB Bản 9.7 Inches - Hàng Chính Hãng,4299000.0,4990000.0,0.14,1,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-4gb-64gb-ban-9-7-inches-hang-chinh-hang-p279505636.html?spid=279505638,True
279505495,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 4GB/128GB - Hàng Chính Hãng,4989000.0,5290000.0,0.06,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-4gb-128gb-hang-chinh-hang-p279505495.html?spid=279505497,True
279504673,"Máy tính bảng Xiaomi Redmi Pad 8 11.2"" Wifi (8GB/128GB) - Hàng chính hãng",11990000.0,11990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-8-11-2-wifi-8gb-128gb-hang-chinh-hang-p279504673.html?spid=279504677,True
279503826,Điện thoại Xiaomi 17T 5G (12GB/512GB) -  Hàng chính hãng,20990000.0,20990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-17t-5g-12gb-512gb-hang-chinh-hang-p279503826.html?spid=279503830,True
279503231,Điện Thoại Xiaomi Redmi Note 15 8GB/128GB - Hàng Chính Hãng,5899000.0,6490000.0,0.09,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-8gb-128gb-hang-chinh-hang-p279503231.html?spid=279503233,True
279418684,Điện Thoại Xiaomi Redmi 15 5G 4GB/128GB - Hàng Chính Hãng,4439000.0,5690000.0,0.22,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-4gb-128gb-hang-chinh-hang-p279418684.html?spid=279418686,True
279418664,Điện Thoại Xiaomi 17T 5G 12GB/512GB - Hàng Chính Hãng,14849000.0,20990000.0,0.29,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-17t-5g-12gb-512gb-hang-chinh-hang-p279418664.html?spid=279418666,True
279418637,Điện Thoại Xiaomi 17T Pro 5G 12GB/512GB - Hàng Chính Hãng,19979000.0,24990000.0,0.2,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-17t-pro-5g-12gb-512gb-hang-chinh-hang-p279418637.html?spid=279418641,True
279395979,Điện thoại realme Note 80 4GB/64GB - Hàng Chính Hãng,3250000.0,3250000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-realme-note-80-4gb-64gb-hang-chinh-hang-p279395979.html?spid=279395981,True
279319829,Điện thoại Xiaomi Redmi 15 5G (8GB/256GB) - Hàng chính hãng,6690000.0,6690000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb-hang-chinh-hang-p279319829.html?spid=279319834,True
279307767,Điện Thoại Realme C85 8GB/128GB - Hàng Chính Hãng,4899000.0,6290000.0,0.22,2,3.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-realme-c85-8gb-128gb-hang-chinh-hang-p279307767.html?spid=279307769,True
279174132,Máy Tính Bảng Samsung Galaxy Tab A11 Wifi 4GB/64GB - Hàng Chính Hãng,3990000.0,3990000.0,0.0,1,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-hang-chinh-hang-p279174132.html?spid=279174136,True
279075629,Điện Thoại Xiaomi Redmi 15C 4GB/128GB - Hàng Chính Hãng,3899000.0,4690000.0,0.17,4,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-15c-4gb-128gb-hang-chinh-hang-p279075629.html?spid=279075631,True
279074841,Điện Thoại Xiaomi POCO C85 6GB/128GB - Hàng Chính Hãng,4299000.0,4690000.0,0.08,3,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-poco-c85-6gb-128gb-hang-chinh-hang-p279074841.html?spid=279074847,True
278592403,Điện thoại Samsung Galaxy A07 LTE (4GB/64GB) - Hàng chính hãng,3890000.0,3890000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a07-lte-4gb-64gb-hang-chinh-hang-p278592403.html?spid=278592409,True
276509102,Máy tính bảng Masstel Tab 10A 10.1 inch (3GB/32GB) - Hàng chính hãng,1990000.0,1990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-tinh-bang-masstel-tab-10a-10-1-inch-3gb-32gb-hang-chinh-hang-p276509102.html?spid=276509104,True
