ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,da_kiem_tra_gia_ao
278838097,Sách Tính Bản Ác (M. Scott Peck) - Tuệ Tri,133000.0,4.7,518,https://tiki.vn/sach-tinh-ban-ac-p278838097.html?spid=278838098,Tiki,Tô màu - Luyện chữ,False
278724728,Sách Giải Mã Tâm Lý Hành Vi Về Tiền,156400.0,4.8,865,https://tiki.vn/sach-giai-ma-tam-ly-hanh-vi-ve-tien-p278724728.html?spid=278724729,Tiki,Sách ngoại văn,False
278572376,Combo Perman - Cậu Bé Siêu Nhân,166250.0,5.0,186,https://tiki.vn/combo-perman-cau-be-sieu-nhan-p278572376.html?spid=278572844,Tiki,Truyện tranh/Manga,False
277827033,Sách Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở,216700.0,4.8,268,https://tiki.vn/sach-lan-dau-lam-me-tong-hop-nhung-kien-thuc-moi-nhat-ve-mang-thai-va-sinh-no-p277827033.html?spid=277827036,Tiki,Sách ngoại văn,False
277728224,"Sách Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",119100.0,4.8,7980,https://tiki.vn/sach-noi-chuyen-la-ban-nang-giu-mieng-la-tu-duong-im-lang-la-tri-tue-p277728224.html?spid=212356653,Tiki,Sách ngoại văn,False
277622005,Sách Boxset Cá Voi Đêm Bão Và Những Câu Chuyện Khác (5 Cuốn),195000.0,5.0,162,https://tiki.vn/sach-boxset-ca-voi-dem-bao-va-nhung-cau-chuyen-khac-5-cuon-p277622005.html?spid=277622008,Tiki,Sách ngoại văn,False
277599506,Sách Đôi mắt của Mona,260260.0,4.7,518,https://tiki.vn/sach-doi-mat-cua-mona-p277599506.html?spid=277599509,Tiki,Sách ngoại văn,False
276960030,Sách Khi Mọi Điều Không Như Ý,83930.0,5.0,3024,https://tiki.vn/sach-khi-moi-dieu-khong-nhu-y-p276960030.html?spid=276960033,Tiki,Sách ngoại văn,False
276944781,Sách Công Cụ Của Những Người Khổng Lồ,310000.0,5.0,200,https://tiki.vn/sach-cong-cu-cua-nhung-nguoi-khong-lo-p276944781.html?spid=277347896,Tiki,Sách ngoại văn,True
276933759,Combo Giáo Trình Chuẩn HSK 5 Tập 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),387000.0,5.0,850,https://tiki.vn/combo-giao-trinh-chuan-hsk-5-tap-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933759.html?spid=276949262,Tiki,Sách ngoại văn,True
276471716,Sách Cách Sống,71500.0,4.8,878,https://tiki.vn/sach-cach-song-p276471716.html?spid=276471719,Tiki,Sách ngoại văn,False
276285600,Phù thủy và dã thú,49000.0,5.0,100,https://tiki.vn/phu-thuy-va-da-thu-p276285600.html?spid=276885653,Tiki,Truyện tranh/Manga,False
275034810,Sách Thánh Kinh Marketing,187600.0,5.0,90,https://tiki.vn/sach-thanh-kinh-marketing-p275034810.html?spid=275034812,Tiki,Sách ngoại văn,False
273349964,Cecilia & Lawrence ( Chọn Tập Lẻ),38000.0,5.0,84,https://tiki.vn/combo-cecilia-lawrence-p273349964.html?spid=278690548,Tiki,Truyện tranh/Manga,False
273219497,Series các tập Moriarty the patriot,40000.0,5.0,763,https://tiki.vn/series-cac-tap-moriarty-the-patriot-p273219497.html?spid=274971985,Tiki,Truyện tranh/Manga,False
272367381,Sách Trốn Lên Mái Nhà Để Khóc,73150.0,5.0,2863,https://tiki.vn/sach-tron-len-mai-nha-de-khoc-p272367381.html?spid=272367383,Tiki,Sách ngoại văn,False
