ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,gia_goc,ty_le_giam,shop,da_kiem_tra_gia_ao
279402741,Điện thoại Samsung Galaxy A07 5G (4GB/64GB) - Hàng chính hãng,4690000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-64gb-hang-chinh-hang-p279402741.html?spid=279402747,Tiki,Ngành 1795,4690000.0,0.0,Tiki,False
279389858,Điện thoại Xiaomi Redmi A7 Pro (4GB/64GB) - Hàng chính hãng,4190000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-a7-pro-hang-chinh-hang-p279389858.html?spid=279389860,Tiki,Ngành 1795,4190000.0,0.0,Tiki,False
279280385,Điện thoại Xiaomi Redmi Note 15 Pro (8GB/256GB) - Hàng chính hãng,8990000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-8gb-256gb-hang-chinh-hang-p279280385.html?spid=279280389,Tiki,Ngành 1795,8990000.0,0.0,Tiki,False
279278848,Điện thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng chính hãng,10790000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-8gb-128gb-hang-chinh-hang-p279278848.html?spid=279278850,Tiki,Ngành 1795,10790000.0,0.0,Tiki,True
279277488,Điện thoại Samsung Galaxy A57 5G (8GB/128GB) - Hàng chính hãng,12490000.0,5.0,1,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279277488.html?spid=279277490,Tiki,Ngành 1795,12490000.0,0.0,Tiki,True
279277445,Điện thoại Samsung Galaxy S26+ (12GB/512GB) - Hàng chính hãng,35990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-512gb-hang-chinh-hang-p279277445.html?spid=279277449,Tiki,Ngành 1795,35990000.0,0.0,Tiki,True
279277056,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,29990000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279277056.html?spid=279277060,Tiki,Ngành 1795,29990000.0,0.0,Tiki,True
279255062,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 6GB/128GB - Hàng Chính Hãng,6129000.0,0.0,0,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-6gb-128gb-hang-chinh-hang-p279255062.html?spid=279255066,Tiki,Ngành 1795,6129000.0,0.0,Tiki,False
279254739,Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,6279000.0,5.0,2,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb-hang-chinh-hang-p279254739.html?spid=279254741,Tiki,Ngành 1795,6279000.0,0.0,Tiki,False
279247627,Điện thoại Xiaomi Redmi 15 5G (4GB/128GB) - Hàng chính hãng,5690000.0,0.0,0,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-4gb-128gb-hang-chinh-hang-p279247627.html?spid=279247629,Tiki,Ngành 1795,5690000.0,0.0,Tiki,False
279212199,Điện thoại Samsung Galaxy A17 5G (4GB/128GB) - Hàng chính hãng,6190000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-4gb-128gb-hang-chinh-hang-p279212199.html?spid=279212205,Tiki,Ngành 1795,6190000.0,0.0,Tiki,False
279211779,Điện thoại Samsung Galaxy A07 5G (4GB/128GB) - Hàng chính hãng,5090000.0,0.0,0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-128gb-hang-chinh-hang-p279211779.html?spid=279211783,Tiki,Ngành 1795,5090000.0,0.0,Tiki,False
279174132,Máy Tính Bảng Samsung Galaxy Tab A11 Wifi 4GB/64GB - Hàng Chính Hãng,3499000.0,0.0,0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-hang-chinh-hang-p279174132.html?spid=279174134,Tiki,Ngành 1794,3499000.0,0.0,Tiki,False
